Unnamed: 0,File,sep= Submitting Device,Device User_x,Form Completed_x,Upload Completed_x,Submission ID_x,Submission ID generated by device_x,tree_id,Tree Barcode - 树条码 : timestamp,Tree Barcode - 树条码 : geostamp,Tree Status - 树状态 : Tree Vitality Score Guide - 树活力评分指南,Tree Status - 树状态 : Tree Vitality Score - 树活力评分,Tree Status - 树状态 : Tree Vitality Score - 树活力评分 : timestamp,Tree Status - 树状态 : Tree Vitality Score - 树活力评分 : geostamp,Tree Status - 树状态 : Tree Status Image - 树状态图像,Tree Status - 树状态 : Tree Symptom  -  树症状,Tree Status - 树状态 : Twig symptom - 树枝症状,Tree Status - 树状态 : Twig Vitality Score - 树活力评分,Tree Status - 树状态 : Branch symptom - 分支症状,Tree Status - 树状态 : Branch Vitality Score - 树活力评分,Tree Status - 树状态 : Trunk symptom - 躯干症状,Tree Status - 树状态 : Trunk Vitality Score - 树活力评分,Tree Status - 树状态 :  Leaves symptom - 叶子症状,Tree Status - 树状态 : Leaves Vitality Score - 树活力评分,Tree Status - 树状态 : Bark symptom - 树皮症状,Tree Status - 树状态 : Bark Vitality Score - 树活力评分,Tree Status - 树状态 : Fungi symptom - 真菌症状,Tree Status - 树状态 : Sap sucker symptom - 啄木鸟啄食症状,Tree Status - 树状态 : Other damage - 其他损坏,Tree Status - 树状态 : Tree images -  树 图片 : Tree Status image  - 树状态和损坏图像,Tree Status - 树状态 : Tree images -  树 图片 : Twig symptom - 树枝症状,Tree Status - 树状态 : Tree images -  树 图片 :  Branch symptom - 分支症状,Tree Status - 树状态 : Tree images -  树 图片 : Trunk symptom - 躯干症状,Tree Status - 树状态 : Tree images -  树 图片 :  Leaves symptom - 叶子症状,Tree Status - 树状态 : Tree images -  树 图片 : Bark symptom - 树皮症状,Tree Status - 树状态 : Tree images -  树 图片 : Fungi symptom - 真菌症状,Tree Status - 树状态 : Tree images -  树 图片 : Sap sucker symptom - 吸液器症状,Tree Status - 树状态 : Tree images -  树 图片 : Other damage - 其他损坏,Tree Status - 树状态 : Tree Status Notes - 树状态说明,Beetle Observation - 甲虫观察 : Beetle Count - 甲虫计数,Beetle Observation - 甲虫观察 : Beetle Count - 甲虫计数 : timestamp,Beetle Observation - 甲虫观察 : Beetle Count - 甲虫计数 : geostamp,Beetle Observation - 甲虫观察 : Beetle Family -  甲虫家族,Beetle Observation - 甲虫观察 : Beetle Family -  甲虫家族 : timestamp,Beetle Observation - 甲虫观察 : Beetle Family -  甲虫家族 : geostamp,Beetle Observation - 甲虫观察 : Beetle Genus - 甲虫属,Beetle Observation - 甲虫观察 : Beetle Genus -  甲虫属,Beetle Observation - 甲虫观察 : Beetle Genus -  甲虫属 : timestamp,Beetle Observation - 甲虫观察 : Beetle Species -  甲虫种类,Beetle Observation - 甲虫观察 : Beetle Species -  甲虫种类 : timestamp,Beetle Observation - 甲虫观察 : Beetle Species -  甲虫种类 : geostamp,Beetle Observation - 甲虫观察 : Beetle Species -  甲虫种类 2,Beetle Observation - 甲虫观察 : Beetle Species -  甲虫种类 : timestamp 2,Beetle Observation - 甲虫观察 : Beetle Species -  甲虫种类 : geostamp 2,Beetle Observation - 甲虫观察 : Beetle Genus -  甲虫属 2,Beetle Observation - 甲虫观察 : Beetle Genus -  甲虫属 : timestamp 2,Beetle Observation - 甲虫观察 : Beetle Genus -  甲虫属 3,Beetle Observation - 甲虫观察 : Beetle Subfamily - 亚科/种类,Beetle Observation - 甲虫观察 : Beetle Genus -  甲虫属 4,Beetle Observation - 甲虫观察 : Beetle Genus -  甲虫属 5,Beetle Observation - 甲虫观察 : Beetle Genus -  甲虫属 6,Beetle Observation - 甲虫观察 : Beetle Genus -  甲虫属 7,Beetle Observation - 甲虫观察 : Add New Beetle - 添加新甲壳虫,Beetle Observation - 甲虫观察 : Add New Beetle - 添加新甲壳虫 : timestamp,Beetle Observation - 甲虫观察 : Add New Beetle - 添加新甲壳虫 : geostamp,Beetle Observation - 甲虫观察 : Beetle Image - 甲虫图片 : Beetle Image - 甲虫图片,Beetle Observation - 甲虫观察 : Beetle evidence images - 甲虫证据图片 : Beetle Image - 甲虫图片,Beetle Observation - 甲虫观察 : Beetle Notes -  笔记,Beetle Observation - 甲虫观察 : Beetle code ID,Beetle Observation - 甲虫观察 : Beetle code ID - 甲壳虫代码 ID,Beetle Observation - 甲虫观察 : Beetle code ID - 甲壳虫代码 ID : timestamp,Beetle Observation - 甲虫观察 : Beetle code ID - 甲壳虫代码 ID : geostamp,Beetle Observation - 甲虫观察 : Beetle_Observation_______/Beetle_code_ID_hidden,Beetle Observation - 甲虫观察 : Beetle_Observation_______/Beetle_code_ID_hidden : timestamp,Beetle Observation - 甲虫观察 : Beetle_Observation_______/Beetle_code_ID_hidden : geostamp,Beetle Observation - 甲虫观察 : Observation ID - 观察 ID,Beetle Observation - 甲虫观察 : Observation ID - 观察 ID : timestamp,Beetle Observation - 甲虫观察 : Observation ID - 观察 ID : geostamp,Beetle Observation - 甲虫观察 : Beetle_Observation_Index_value,Beetle Observation - 甲虫观察 : Time_of_recording,Beetle Observation - 甲虫观察 : Time_of_recording : timestamp,Notes -  笔记_x,Submitting Device,Device User_y,Form Completed_y,Upload Completed_y,Submission ID_y,Submission ID generated by device_y,Barcode and Picture - 条码和图片 : Tree Barcode - 树条码 : timestamp,Barcode and Picture - 条码和图片 : Tree Barcode - 树条码 : geostamp,Barcode and Picture - 条码和图片 : Tree Image - 树图像,Barcode and Picture - 条码和图片 : Tree Image - 树图像 : timestamp,Barcode and Picture - 条码和图片 : Tree Image - 树图像 : geostamp,Tree Details - 树详细信息 : Site - 地点,Tree Details - 树详细信息 : Site - 地点 : timestamp,Tree Details - 树详细信息 : Site - 地点 : geostamp,Tree Details - 树详细信息 : Tree species -  树种,Tree Details - 树详细信息 : Tree species -  树种 : timestamp,Tree Details - 树详细信息 : Tree species -  树种 : geostamp,Tree Details - 树详细信息 : New Tree Species - 添加新树种,Tree Details - 树详细信息 : Stressor - 压力源,Tree Details - 树详细信息 : Stressor - 压力源 : timestamp,Tree Details - 树详细信息 : Stressor - 压力源 : geostamp,Notes -  笔记_y,Notes -  笔记 : timestamp,Notes -  笔记 : geostamp,tree_vitality,tree_species,beetle_taxonomy
0,Tree Surveying Form - 树木测量表 (17).csv,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-05-19 11:25:54 -04:00,2022-05-19 15:33:46 +00:00,70617194,C561CFEF-9C01-40C4-922C-DD882A57D35F,14035077,2022-05-19 11:24:44,"lat=29.719212, long=-82.413310, alt=54.660376, hAccuracy=25.435603, vAccuracy=22.314991, timestamp=2022-05-19T15:24:43Z",,1 - Healthy - 健康,,,,,,,,,,,,,,,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/0d3096a0-b9b7-013a-2dc5-2a727000a617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-05-26 10:25:16 -04:00,2022-05-26 14:25:38 +00:00,70846154.0,8E754BB4-DADA-48A0-B770-3D0EFAD9ED62,2022-05-26 10:24:46,"lat=29.719184, long=-82.413270, alt=55.639425, hAccuracy=13.275143, vAccuracy=16.548806, timestamp=2022-05-26T14:24:46Z",http://app.devicemagic.com/organizations/261690/stored_files/v2/b5389690-bf2d-013a-bb3f-7ea36f3bf3bf,2022-05-26 10:25:00,"lat=29.719243, long=-82.413238, alt=58.850955, hAccuracy=4.834992, vAccuracy=3.232243, timestamp=2022-05-26T14:25:00Z",USA: Gainesville - 盖恩斯维尔,2022-05-26 10:25:04,"lat=29.719241, long=-82.413226, alt=58.397576, hAccuracy=4.839809, vAccuracy=3.225025, timestamp=2022-05-26T14:25:04Z",Chinese white pine - 华山松 - Pinus armandii,2022-05-26 10:25:08,"lat=29.719241, long=-82.413226, alt=58.397576, hAccuracy=4.790333, vAccuracy=3.298068, timestamp=2022-05-26T14:25:07Z",,None - 没有任何,2022-05-26 10:25:09,"lat=29.719241, long=-82.413226, alt=58.397576, hAccuracy=4.783819, vAccuracy=3.307509, timestamp=2022-05-26T14:25:09Z",,,,1,Chinese white pine,
1,Tree Surveying Form - 树木测量表 (17).csv,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-05-19 11:25:54 -04:00,2022-05-19 15:33:46 +00:00,70617194,C561CFEF-9C01-40C4-922C-DD882A57D35F,14035077,2022-05-19 11:24:44,"lat=29.719212, long=-82.413310, alt=54.660376, hAccuracy=25.435603, vAccuracy=22.314991, timestamp=2022-05-19T15:24:43Z",,1 - Healthy - 健康,,,,,,,,,,,,,,,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/0d3096a0-b9b7-013a-2dc5-2a727000a617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-05-19 11:24:25 -04:00,2022-05-19 15:30:47 +00:00,70617083.0,6C664513-E38D-4BBE-828C-FD85843FCE4C,2022-05-19 11:23:33,"lat=29.719163, long=-82.413196, alt=54.895000, hAccuracy=12.309794, vAccuracy=16.190854, timestamp=2022-05-19T15:23:33Z",http://app.devicemagic.com/organizations/261690/stored_files/v2/a874bbb0-b9b6-013a-1305-1e94e4b495b6,2022-05-19 11:23:47,"lat=29.719182, long=-82.413192, alt=54.654289, hAccuracy=9.182948, vAccuracy=14.291675, timestamp=2022-05-19T15:23:47Z",USA: Gainesville - 盖恩斯维尔,2022-05-19 11:23:52,"lat=29.719163, long=-82.413210, alt=54.454590, hAccuracy=7.546044, vAccuracy=13.242499, timestamp=2022-05-19T15:23:51Z",Chinese white pine - 华山松 - Pinus armandii,2022-05-19 11:24:03,"lat=29.719141, long=-82.413227, alt=52.458037, hAccuracy=4.698315, vAccuracy=3.427881, timestamp=2022-05-19T15:24:02Z",,None - 没有任何,2022-05-19 11:24:06,"lat=29.719161, long=-82.413226, alt=52.426372, hAccuracy=4.705861, vAccuracy=3.417515, timestamp=2022-05-19T15:24:05Z",,,,1,Chinese white pine,
2,Tree Surveying Form - 树木测量表 (17).csv,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-05-19 11:35:41 -04:00,2022-05-19 15:42:01 +00:00,70617491,64DA5C1C-781F-46FF-9262-C8F4D1B2B231,14035093,2022-05-19 11:29:27,"lat=29.719131, long=-82.413280, alt=54.563898, hAccuracy=21.739741, vAccuracy=16.115469, timestamp=2022-05-19T15:29:26Z",,2 - Slightly unhealthy - 轻微不健康,,,,"Leaves - 树叶,Other - 其他",,,,,,,Wilting - 枯萎,,,,,,Some gall-like small jumps on basal trunk,http://app.devicemagic.com/organizations/261690/stored_files/v2/3a6b6c30-b9b8-013a-c973-42abbfa5f22b,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/4447ea70-b9b8-013a-c973-42abbfa5f22b,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/46674420-b9b8-013a-c973-42abbfa5f22b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-05-26 11:38:01 -04:00,2022-05-26 15:38:14 +00:00,70849120.0,F7F18F8B-0E5A-4C2E-955B-FABFD47C1B12,2022-05-26 11:37:38,"lat=29.719089, long=-82.413146, alt=54.138129, hAccuracy=80.295466, vAccuracy=161.290979, timestamp=2022-05-26T15:37:37Z",http://app.devicemagic.com/organizations/261690/stored_files/v2/e4a61150-bf37-013a-19fd-2aeb10db22e1,2022-05-26 11:37:49,"lat=29.719057, long=-82.413277, alt=54.261203, hAccuracy=8.994367, vAccuracy=12.957735, timestamp=2022-05-26T15:37:48Z",USA: Gainesville - 盖恩斯维尔,2022-05-26 11:37:53,"lat=29.719043, long=-82.413298, alt=54.326119, hAccuracy=10.413310, vAccuracy=16.315312, timestamp=2022-05-26T15:37:52Z",Japanese cedar - 日本雪松 - Cryptomeria japonica,2022-05-26 11:37:56,"lat=29.719071, long=-82.413297, alt=54.209218, hAccuracy=9.063891, vAccuracy=15.328843, timestamp=2022-05-26T15:37:55Z",,None - 没有任何,2022-05-26 11:37:57,"lat=29.719076, long=-82.413299, alt=54.183964, hAccuracy=16.172554, vAccuracy=28.279232, timestamp=2022-05-26T15:37:56Z",,,,2,Japanese cedar,
3,Tree Surveying Form - 树木测量表 (17).csv,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-05-19 11:35:41 -04:00,2022-05-19 15:42:01 +00:00,70617491,64DA5C1C-781F-46FF-9262-C8F4D1B2B231,14035093,2022-05-19 11:29:27,"lat=29.719131, long=-82.413280, alt=54.563898, hAccuracy=21.739741, vAccuracy=16.115469, timestamp=2022-05-19T15:29:26Z",,2 - Slightly unhealthy - 轻微不健康,,,,"Leaves - 树叶,Other - 其他",,,,,,,Wilting - 枯萎,,,,,,Some gall-like small jumps on basal trunk,http://app.devicemagic.com/organizations/261690/stored_files/v2/3a6b6c30-b9b8-013a-c973-42abbfa5f22b,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/4447ea70-b9b8-013a-c973-42abbfa5f22b,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/46674420-b9b8-013a-c973-42abbfa5f22b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-05-19 11:27:21 -04:00,2022-05-19 15:31:57 +00:00,70617125.0,25A43B02-E24E-484F-828A-480595FC3195,2022-05-19 11:26:45,"lat=29.719105, long=-82.413287, alt=55.205379, hAccuracy=27.821492, vAccuracy=18.124337, timestamp=2022-05-19T15:26:44Z",http://app.devicemagic.com/organizations/261690/stored_files/v2/dc805010-b9b6-013a-254a-0ea9e7c5bc5f,2022-05-19 11:26:57,"lat=29.719124, long=-82.413300, alt=54.283570, hAccuracy=12.257000, vAccuracy=19.830830, timestamp=2022-05-19T15:26:56Z",USA: Gainesville - 盖恩斯维尔,2022-05-19 11:27:01,"lat=29.719147, long=-82.413329, alt=54.573735, hAccuracy=8.296512, vAccuracy=14.584449, timestamp=2022-05-19T15:27:01Z",Japanese cedar - 日本雪松 - Cryptomeria japonica,2022-05-19 11:27:15,"lat=29.719125, long=-82.413268, alt=54.476598, hAccuracy=4.537992, vAccuracy=3.637467, timestamp=2022-05-19T15:27:14Z",,None - 没有任何,2022-05-19 11:27:17,"lat=29.719123, long=-82.413259, alt=53.536792, hAccuracy=4.488630, vAccuracy=3.698207, timestamp=2022-05-19T15:27:16Z",,,,2,Japanese cedar,
4,Tree Surveying Form - 树木测量表 (17).csv,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-05-19 11:35:41 -04:00,2022-05-19 15:42:01 +00:00,70617491,64DA5C1C-781F-46FF-9262-C8F4D1B2B231,14035093,2022-05-19 11:29:27,"lat=29.719131, long=-82.413280, alt=54.563898, hAccuracy=21.739741, vAccuracy=16.115469, timestamp=2022-05-19T15:29:26Z",,2 - Slightly unhealthy - 轻微不健康,,,,"Leaves - 树叶,Other - 其他",,,,,,,Wilting - 枯萎,,,,,,Some gall-like small jumps on basal trunk,http://app.devicemagic.com/organizations/261690/stored_files/v2/3a6b6c30-b9b8-013a-c973-42abbfa5f22b,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/4447ea70-b9b8-013a-c973-42abbfa5f22b,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/46674420-b9b8-013a-c973-42abbfa5f22b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-05-12 10:59:56 -04:00,2022-05-12 16:57:39 +00:00,70390096.0,962C6DD0-702F-4DF7-846E-4134D03F4DC4,2022-05-12 10:58:45,"lat=29.719133, long=-82.413212, alt=55.170486, hAccuracy=14.724414, vAccuracy=17.525481, timestamp=2022-05-12T14:58:44Z",http://app.devicemagic.com/organizations/261690/stored_files/v2/9e693d70-b442-013a-4459-321fd6598291,2022-05-12 10:59:03,"lat=29.719097, long=-82.413208, alt=58.357810, hAccuracy=4.696753, vAccuracy=3.430022, timestamp=2022-05-12T14:59:03Z",USA: Gainesville - 盖恩斯维尔,2022-05-12 10:59:10,"lat=29.719086, long=-82.413240, alt=53.579990, hAccuracy=4.712139, vAccuracy=3.408853, timestamp=2022-05-12T14:59:10Z",Add New Tree Species -  添加新树种,2022-05-12 10:59:24,"lat=29.719073, long=-82.413310, alt=55.761564, hAccuracy=4.640875, vAccuracy=3.505255, timestamp=2022-05-12T14:59:24Z",C. japonica (Japanese cedar),None - 没有任何,2022-05-12 10:59:46,"lat=29.719077, long=-82.413191, alt=54.303564, hAccuracy=4.640850, vAccuracy=3.505288, timestamp=2022-05-12T14:59:45Z",,,,2,Japanese cedar,
5,Tree Surveying Form - 树木测量表 (17).csv,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-05-19 11:42:59 -04:00,2022-05-19 15:45:22 +00:00,70617598,0957D930-C120-4115-89BA-DE14135726F6,14035083,2022-05-19 11:36:31,"lat=29.719128, long=-82.413237, alt=52.992203, hAccuracy=4.727000, vAccuracy=3.388216, timestamp=2022-05-19T15:36:30Z",,4 - Severely unhealthy - 严重不健康,,,,,,,,,,,,,,,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/ab8d4a20-b9b8-013a-d057-0a9b334681fd,,,,,,,,,The tree looks dead but may still alive (has some buds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-05-26 12:10:52 -04:00,2022-05-26 16:11:01 +00:00,70850604.0,8378B38A-74B1-4556-90E8-F5196B7FEAEC,2022-05-26 12:10:35,"lat=29.719127, long=-82.413218, alt=55.450458, hAccuracy=4.895995, vAccuracy=3.139072, timestamp=2022-05-26T16:10:35Z",http://app.devicemagic.com/organizations/261690/stored_files/v2/6ee83200-bf3c-013a-19fd-2aeb10db22e1,2022-05-26 12:10:42,"lat=29.719114, long=-82.413213, alt=55.148207, hAccuracy=4.836819, vAccuracy=3.229508, timestamp=2022-05-26T16:10:42Z",USA: Gainesville - 盖恩斯维尔,2022-05-26 12:10:45,"lat=29.719083, long=-82.413218, alt=54.799650, hAccuracy=4.807724, vAccuracy=3.272664, timestamp=2022-05-26T16:10:45Z",Sawtooth oak - 麻栎 - Quercus acutissima,2022-05-26 12:10:48,"lat=29.719083, long=-82.413218, alt=54.799650, hAccuracy=4.752222, vAccuracy=3.352749, timestamp=2022-05-26T16:10:48Z",,None - 没有任何,2022-05-26 12:10:49,"lat=29.719083, long=-82.413218, alt=54.799650, hAccuracy=4.747783, vAccuracy=3.359032, timestamp=2022-05-26T16:10:49Z",,,,4,Sawtooth oak,
6,Tree Surveying Form - 树木测量表 (17).csv,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-05-19 11:42:59 -04:00,2022-05-19 15:45:22 +00:00,70617598,0957D930-C120-4115-89BA-DE14135726F6,14035083,2022-05-19 11:36:31,"lat=29.719128, long=-82.413237, alt=52.992203, hAccuracy=4.727000, vAccuracy=3.388216, timestamp=2022-05-19T15:36:30Z",,4 - Severely unhealthy - 严重不健康,,,,,,,,,,,,,,,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/ab8d4a20-b9b8-013a-d057-0a9b334681fd,,,,,,,,,The tree looks dead but may still alive (has some buds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-05-19 11:36:26 -04:00,2022-05-19 15:42:05 +00:00,70617493.0,56961367-1FBB-4F2E-A016-CFBF1CA38CFB,2022-05-19 11:35:52,"lat=29.719172, long=-82.413248, alt=53.327040, hAccuracy=4.803288, vAccuracy=3.279171, timestamp=2022-05-19T15:35:51Z",http://app.devicemagic.com/organizations/261690/stored_files/v2/3dc0f200-b9b8-013a-af1c-3ed97a4db056,2022-05-19 11:36:03,"lat=29.719129, long=-82.413247, alt=54.542247, hAccuracy=4.724062, vAccuracy=3.392312, timestamp=2022-05-19T15:36:02Z",USA: Gainesville - 盖恩斯维尔,2022-05-19 11:36:08,"lat=29.719093, long=-82.413260, alt=54.853706, hAccuracy=4.753195, vAccuracy=3.351369, timestamp=2022-05-19T15:36:07Z",Sawtooth oak - 麻栎 - Quercus acutissima,2022-05-19 11:36:18,"lat=29.719085, long=-82.413280, alt=54.036494, hAccuracy=4.733651, vAccuracy=3.378918, timestamp=2022-05-19T15:36:16Z",,None - 没有任何,2022-05-19 11:36:19,"lat=29.719095, long=-82.413255, alt=53.497601, hAccuracy=4.722195, vAccuracy=3.394909, timestamp=2022-05-19T15:36:18Z",,,,4,Sawtooth oak,
7,Tree Surveying Form - 树木测量表 (17).csv,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-05-19 11:45:36 -04:00,2022-05-19 15:48:31 +00:00,70617693,1CA027EB-E382-4CBE-BC1D-9B73CCD812B6,14035095,2022-05-19 11:44:06,"lat=29.719117, long=-82.413273, alt=53.975244, hAccuracy=4.560093, vAccuracy=3.609722, timestamp=2022-05-19T15:44:04Z",,2 - Slightly unhealthy - 轻微不健康,,,,Leaves - 树叶,,,,,,,Wilting - 枯萎,,,,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/2540aee0-b9b9-013a-6625-1673ff8af2d4,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/2766df10-b9b9-013a-6625-1673ff8af2d4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-05-26 12:08:36 -04:00,2022-05-26 16:09:27 +00:00,70850544.0,9AC36E14-5648-48E1-B639-B4D26A9C8AC3,2022-05-26 12:08:16,"lat=29.719167, long=-82.413204, alt=54.827741, hAccuracy=9.759880, vAccuracy=14.712297, timestamp=2022-05-26T16:08:16Z",http://app.devicemagic.com/organizations/261690/stored_files/v2/374ed680-bf3c-013a-19fd-2aeb10db22e1,2022-05-26 12:08:21,"lat=29.719171, long=-82.413208, alt=54.849819, hAccuracy=9.197594, vAccuracy=15.139092, timestamp=2022-05-26T16:08:21Z",USA: Gainesville - 盖恩斯维尔,2022-05-26 12:08:24,"lat=29.719180, long=-82.413217, alt=54.918163, hAccuracy=8.776813, vAccuracy=13.772668, timestamp=2022-05-26T16:08:24Z",Chinese white pine - 华山松 - Pinus armandii,2022-05-26 12:08:29,"lat=29.719180, long=-82.413217, alt=54.918163, hAccuracy=8.322662, vAccuracy=14.467889, timestamp=2022-05-26T16:08:29Z",,None - 没有任何,2022-05-26 12:08:33,"lat=29.719206, long=-82.413159, alt=55.127789, hAccuracy=7.294475, vAccuracy=13.465216, timestamp=2022-05-26T16:08:33Z",,,,2,Chinese white pine,
8,Tree Surveying Form - 树木测量表 (17).csv,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-05-19 11:45:36 -04:00,2022-05-19 15:48:31 +00:00,70617693,1CA027EB-E382-4CBE-BC1D-9B73CCD812B6,14035095,2022-05-19 11:44:06,"lat=29.719117, long=-82.413273, alt=53.975244, hAccuracy=4.560093, vAccuracy=3.609722, timestamp=2022-05-19T15:44:04Z",,2 - Slightly unhealthy - 轻微不健康,,,,Leaves - 树叶,,,,,,,Wilting - 枯萎,,,,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/2540aee0-b9b9-013a-6625-1673ff8af2d4,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/2766df10-b9b9-013a-6625-1673ff8af2d4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-05-19 11:43:58 -04:00,2022-05-19 15:46:20 +00:00,70617624.0,7DB105E0-341B-438F-ABFF-5D95B19743CB,2022-05-19 11:43:26,"lat=29.719111, long=-82.413173, alt=55.574578, hAccuracy=40.141934, vAccuracy=10.302162, timestamp=2022-05-19T15:43:20Z",http://app.devicemagic.com/organizations/261690/stored_files/v2/d1f66140-b9b8-013a-d057-0a9b334681fd,2022-05-19 11:43:36,"lat=29.719118, long=-82.413333, alt=54.600281, hAccuracy=12.338359, vAccuracy=16.802188, timestamp=2022-05-19T15:43:35Z",USA: Gainesville - 盖恩斯维尔,2022-05-19 11:43:40,"lat=29.719101, long=-82.413347, alt=54.748729, hAccuracy=11.993326, vAccuracy=15.610072, timestamp=2022-05-19T15:43:40Z",Chinese white pine - 华山松 - Pinus armandii,2022-05-19 11:43:47,"lat=29.719101, long=-82.413302, alt=54.902273, hAccuracy=10.100106, vAccuracy=16.123352, timestamp=2022-05-19T15:43:47Z",,None - 没有任何,2022-05-19 11:43:48,"lat=29.719101, long=-82.413302, alt=54.902273, hAccuracy=8.160154, vAccuracy=13.041847, timestamp=2022-05-19T15:43:48Z",,,,2,Chinese white pine,
9,Tree Surveying Form - 树木测量表 (17).csv,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-05-19 11:48:51 -04:00,2022-05-19 15:50:45 +00:00,70617764,8C3B9D67-3D8F-48C3-B75A-63753B974F5C,14035086,2022-05-19 11:46:17,"lat=29.719094, long=-82.413350, alt=54.298228, hAccuracy=6.761993, vAccuracy=11.708170, timestamp=2022-05-19T15:46:17Z",,3 - Moderately unhealthy - 中度不健康,,,,"Leaves - 树叶,Other - 其他",,,,,,,Wilting - 枯萎,,,,,,A gall-like structure on the trunk ,http://app.devicemagic.com/organizations/261690/stored_files/v2/70ddc320-b9b9-013a-5537-1ad31abe26fa,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/72eb1580-b9b9-013a-5537-1ad31abe26fa,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/74ebe610-b9b9-013a-5537-1ad31abe26fa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-05-26 11:35:37 -04:00,2022-05-26 15:36:12 +00:00,70849049.0,80500518-F7F5-4CDE-AC51-8A033753AFD7,2022-05-26 11:35:14,"lat=29.719065, long=-82.413231, alt=54.755829, hAccuracy=75.791189, vAccuracy=84.072857, timestamp=2022-05-26T15:35:13Z",http://app.devicemagic.com/organizations/261690/stored_files/v2/a21b3540-bf37-013a-872d-5e110109bbf8,2022-05-26 11:35:24,"lat=29.719085, long=-82.413287, alt=54.104910, hAccuracy=7.432049, vAccuracy=12.381663, timestamp=2022-05-26T15:35:24Z",USA: Gainesville - 盖恩斯维尔,2022-05-26 11:35:28,"lat=29.719097, long=-82.413280, alt=53.975017, hAccuracy=7.253408, vAccuracy=12.274371, timestamp=2022-05-26T15:35:28Z",Huangshan pine - 黄山松 - Pinus hwangshanensis,2022-05-26 11:35:33,"lat=29.719097, long=-82.413315, alt=54.170633, hAccuracy=14.599140, vAccuracy=26.471856, timestamp=2022-05-26T15:35:33Z",,None - 没有任何,2022-05-26 11:35:34,"lat=29.719089, long=-82.413315, alt=54.156049, hAccuracy=16.553959, vAccuracy=29.339833, timestamp=2022-05-26T15:35:34Z",,,,3,Huangshan pine,
