File,sep= Submitting Device,Device User,Form Completed,Upload Completed,Submission ID,Submission ID generated by device,Tree Barcode - 树条码,Tree Barcode - 树条码 : timestamp,Tree Barcode - 树条码 : geostamp,Tree Status - 树状态 : Tree Vitality Score Guide - 树活力评分指南,Tree Status - 树状态 : Tree Vitality Score - 树活力评分,Tree Status - 树状态 : Tree Vitality Score - 树活力评分 : timestamp,Tree Status - 树状态 : Tree Vitality Score - 树活力评分 : geostamp,Tree Status - 树状态 : Tree Status Image - 树状态图像,Tree Status - 树状态 : Tree Symptom  -  树症状,Tree Status - 树状态 : Twig symptom - 树枝症状,Tree Status - 树状态 : Twig Vitality Score - 树活力评分,Tree Status - 树状态 : Branch symptom - 分支症状,Tree Status - 树状态 : Branch Vitality Score - 树活力评分,Tree Status - 树状态 : Trunk symptom - 躯干症状,Tree Status - 树状态 : Trunk Vitality Score - 树活力评分,Tree Status - 树状态 :  Leaves symptom - 叶子症状,Tree Status - 树状态 : Leaves Vitality Score - 树活力评分,Tree Status - 树状态 : Bark symptom - 树皮症状,Tree Status - 树状态 : Bark Vitality Score - 树活力评分,Tree Status - 树状态 : Fungi symptom - 真菌症状,Tree Status - 树状态 : Sap sucker symptom - 啄木鸟啄食症状,Tree Status - 树状态 : Other damage - 其他损坏,Tree Status - 树状态 : Tree images -  树 图片 : Tree Status image  - 树状态和损坏图像,Tree Status - 树状态 : Tree images -  树 图片 : Twig symptom - 树枝症状,Tree Status - 树状态 : Tree images -  树 图片 :  Branch symptom - 分支症状,Tree Status - 树状态 : Tree images -  树 图片 : Trunk symptom - 躯干症状,Tree Status - 树状态 : Tree images -  树 图片 :  Leaves symptom - 叶子症状,Tree Status - 树状态 : Tree images -  树 图片 : Bark symptom - 树皮症状,Tree Status - 树状态 : Tree images -  树 图片 : Fungi symptom - 真菌症状,Tree Status - 树状态 : Tree images -  树 图片 : Sap sucker symptom - 吸液器症状,Tree Status - 树状态 : Tree images -  树 图片 : Other damage - 其他损坏,Tree Status - 树状态 : Tree Status Notes - 树状态说明,Beetle Observation - 甲虫观察 : Beetle Count - 甲虫计数,Beetle Observation - 甲虫观察 : Beetle Count - 甲虫计数 : timestamp,Beetle Observation - 甲虫观察 : Beetle Count - 甲虫计数 : geostamp,Beetle Observation - 甲虫观察 : Beetle Family -  甲虫家族,Beetle Observation - 甲虫观察 : Beetle Family -  甲虫家族 : timestamp,Beetle Observation - 甲虫观察 : Beetle Family -  甲虫家族 : geostamp,Beetle Observation - 甲虫观察 : Beetle Genus - 甲虫属,Beetle Observation - 甲虫观察 : Beetle Genus -  甲虫属,Beetle Observation - 甲虫观察 : Beetle Genus -  甲虫属 : timestamp,Beetle Observation - 甲虫观察 : Beetle Species -  甲虫种类,Beetle Observation - 甲虫观察 : Beetle Species -  甲虫种类 : timestamp,Beetle Observation - 甲虫观察 : Beetle Species -  甲虫种类 : geostamp,Beetle Observation - 甲虫观察 : Beetle Species -  甲虫种类 2,Beetle Observation - 甲虫观察 : Beetle Species -  甲虫种类 : timestamp 2,Beetle Observation - 甲虫观察 : Beetle Species -  甲虫种类 : geostamp 2,Beetle Observation - 甲虫观察 : Beetle Genus -  甲虫属 2,Beetle Observation - 甲虫观察 : Beetle Genus -  甲虫属 : timestamp 2,Beetle Observation - 甲虫观察 : Beetle Genus -  甲虫属 3,Beetle Observation - 甲虫观察 : Beetle Subfamily - 亚科/种类,Beetle Observation - 甲虫观察 : Beetle Genus -  甲虫属 4,Beetle Observation - 甲虫观察 : Beetle Genus -  甲虫属 5,Beetle Observation - 甲虫观察 : Beetle Genus -  甲虫属 6,Beetle Observation - 甲虫观察 : Beetle Genus -  甲虫属 7,Beetle Observation - 甲虫观察 : Add New Beetle - 添加新甲壳虫,Beetle Observation - 甲虫观察 : Add New Beetle - 添加新甲壳虫 : timestamp,Beetle Observation - 甲虫观察 : Add New Beetle - 添加新甲壳虫 : geostamp,Beetle Observation - 甲虫观察 : Beetle Image - 甲虫图片 : Beetle Image - 甲虫图片,Beetle Observation - 甲虫观察 : Beetle evidence images - 甲虫证据图片 : Beetle Image - 甲虫图片,Beetle Observation - 甲虫观察 : Beetle Notes -  笔记,Beetle Observation - 甲虫观察 : Beetle code ID,Beetle Observation - 甲虫观察 : Beetle code ID - 甲壳虫代码 ID,Beetle Observation - 甲虫观察 : Beetle code ID - 甲壳虫代码 ID : timestamp,Beetle Observation - 甲虫观察 : Beetle code ID - 甲壳虫代码 ID : geostamp,Beetle Observation - 甲虫观察 : Beetle_Observation_______/Beetle_code_ID_hidden,Beetle Observation - 甲虫观察 : Beetle_Observation_______/Beetle_code_ID_hidden : timestamp,Beetle Observation - 甲虫观察 : Beetle_Observation_______/Beetle_code_ID_hidden : geostamp,Beetle Observation - 甲虫观察 : Observation ID - 观察 ID,Beetle Observation - 甲虫观察 : Observation ID - 观察 ID : timestamp,Beetle Observation - 甲虫观察 : Observation ID - 观察 ID : geostamp,Beetle Observation - 甲虫观察 : Beetle_Observation_Index_value,Beetle Observation - 甲虫观察 : Time_of_recording,Beetle Observation - 甲虫观察 : Time_of_recording : timestamp,Notes -  笔记
Tree Surveying Form - 树木测量表 (17).csv,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-05-19 11:25:54 -04:00,2022-05-19 15:33:46 +00:00,70617194,C561CFEF-9C01-40C4-922C-DD882A57D35F,14035077,2022-05-19 11:24:44,"lat=29.719212, long=-82.413310, alt=54.660376, hAccuracy=25.435603, vAccuracy=22.314991, timestamp=2022-05-19T15:24:43Z",,1 - Healthy - 健康,,,,,,,,,,,,,,,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/0d3096a0-b9b7-013a-2dc5-2a727000a617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tree Surveying Form - 树木测量表 (17).csv,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-05-19 11:35:41 -04:00,2022-05-19 15:42:01 +00:00,70617491,64DA5C1C-781F-46FF-9262-C8F4D1B2B231,14035093,2022-05-19 11:29:27,"lat=29.719131, long=-82.413280, alt=54.563898, hAccuracy=21.739741, vAccuracy=16.115469, timestamp=2022-05-19T15:29:26Z",,2 - Slightly unhealthy - 轻微不健康,,,,"Leaves - 树叶,Other - 其他",,,,,,,Wilting - 枯萎,,,,,,Some gall-like small jumps on basal trunk,http://app.devicemagic.com/organizations/261690/stored_files/v2/3a6b6c30-b9b8-013a-c973-42abbfa5f22b,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/4447ea70-b9b8-013a-c973-42abbfa5f22b,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/46674420-b9b8-013a-c973-42abbfa5f22b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tree Surveying Form - 树木测量表 (17).csv,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-05-19 11:42:59 -04:00,2022-05-19 15:45:22 +00:00,70617598,0957D930-C120-4115-89BA-DE14135726F6,14035083,2022-05-19 11:36:31,"lat=29.719128, long=-82.413237, alt=52.992203, hAccuracy=4.727000, vAccuracy=3.388216, timestamp=2022-05-19T15:36:30Z",,4 - Severely unhealthy - 严重不健康,,,,,,,,,,,,,,,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/ab8d4a20-b9b8-013a-d057-0a9b334681fd,,,,,,,,,The tree looks dead but may still alive (has some buds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tree Surveying Form - 树木测量表 (17).csv,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-05-19 11:45:36 -04:00,2022-05-19 15:48:31 +00:00,70617693,1CA027EB-E382-4CBE-BC1D-9B73CCD812B6,14035095,2022-05-19 11:44:06,"lat=29.719117, long=-82.413273, alt=53.975244, hAccuracy=4.560093, vAccuracy=3.609722, timestamp=2022-05-19T15:44:04Z",,2 - Slightly unhealthy - 轻微不健康,,,,Leaves - 树叶,,,,,,,Wilting - 枯萎,,,,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/2540aee0-b9b9-013a-6625-1673ff8af2d4,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/2766df10-b9b9-013a-6625-1673ff8af2d4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tree Surveying Form - 树木测量表 (17).csv,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-05-19 11:48:51 -04:00,2022-05-19 15:50:45 +00:00,70617764,8C3B9D67-3D8F-48C3-B75A-63753B974F5C,14035086,2022-05-19 11:46:17,"lat=29.719094, long=-82.413350, alt=54.298228, hAccuracy=6.761993, vAccuracy=11.708170, timestamp=2022-05-19T15:46:17Z",,3 - Moderately unhealthy - 中度不健康,,,,"Leaves - 树叶,Other - 其他",,,,,,,Wilting - 枯萎,,,,,,A gall-like structure on the trunk ,http://app.devicemagic.com/organizations/261690/stored_files/v2/70ddc320-b9b9-013a-5537-1ad31abe26fa,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/72eb1580-b9b9-013a-5537-1ad31abe26fa,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/74ebe610-b9b9-013a-5537-1ad31abe26fa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tree Surveying Form - 树木测量表 (17).csv,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-05-19 11:52:47 -04:00,2022-05-19 15:58:38 +00:00,70618007,BF7A578F-B1E4-4688-8D52-EF83845788F3,14035073,2022-05-19 11:49:53,"lat=29.719181, long=-82.413303, alt=52.978184, hAccuracy=4.771065, vAccuracy=3.325880, timestamp=2022-05-19T15:49:53Z",,4 - Severely unhealthy - 严重不健康,,,,"Leaves - 树叶,Other - 其他",,,,,,,Wilting - 枯萎,,,,,,Some small humps on trunk,http://app.devicemagic.com/organizations/261690/stored_files/v2/89ebf420-b9ba-013a-2184-6e12b389b39b,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/8b8d5ee0-b9ba-013a-2184-6e12b389b39b,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/8d33c720-b9ba-013a-2184-6e12b389b39b,The tree looks dead but may still alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tree Surveying Form - 树木测量表 (17).csv,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-05-19 11:57:46 -04:00,2022-05-19 15:59:46 +00:00,70618056,99FF7661-6779-4E2F-B92A-227A80956185,14035089,2022-05-19 11:55:27,"lat=29.719088, long=-82.413343, alt=55.048903, hAccuracy=10.045729, vAccuracy=18.253560, timestamp=2022-05-19T15:55:26Z",,2 - Slightly unhealthy - 轻微不健康,,,,"Leaves - 树叶,Other - 其他",,,,,,,Spots - 斑点,,,,,,Some leaves wilted,http://app.devicemagic.com/organizations/261690/stored_files/v2/babc76f0-b9ba-013a-29b4-0a727ab6671d,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/bc5a61f0-b9ba-013a-29b4-0a727ab6671d,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/bdf23f00-b9ba-013a-29b4-0a727ab6671d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tree Surveying Form - 树木测量表 (17).csv,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-05-19 12:05:01 -04:00,2022-05-19 16:13:31 +00:00,70618509,EB4F14C5-DCD4-48E4-A5CD-185FF4D8C226,14035078,2022-05-19 11:58:45,"lat=29.719154, long=-82.413180, alt=55.188244, hAccuracy=8.480735, vAccuracy=14.420927, timestamp=2022-05-19T15:58:45Z",,2 - Slightly unhealthy - 轻微不健康,,,,"Leaves - 树叶,Other - 其他",,,,,,,Wilting - 枯萎,,,,,,A Scudder's Bush Katydid on leaves,http://app.devicemagic.com/organizations/261690/stored_files/v2/a4949570-b9bc-013a-254a-0ea9e7c5bc5f,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/a7238860-b9bc-013a-254a-0ea9e7c5bc5f,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/a9830c70-b9bc-013a-254a-0ea9e7c5bc5f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tree Surveying Form - 树木测量表 (17).csv,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-05-19 12:11:51 -04:00,2022-05-19 16:16:43 +00:00,70618647,51BB72A0-88E3-413E-91C5-C93388CF5D2B,14035071,2022-05-19 12:07:05,"lat=29.719166, long=-82.413306, alt=51.060167, hAccuracy=4.720506, vAccuracy=3.397258, timestamp=2022-05-19T16:07:04Z",,2 - Slightly unhealthy - 轻微不健康,,,,"Leaves - 树叶,Other - 其他",,,,,,,Wilting - 枯萎,,,,,,"Leaf discoloration, leaf rolling",http://app.devicemagic.com/organizations/261690/stored_files/v2/0fbacac0-b9bd-013a-0b2b-6a3b9ae30f26,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/113ab0b0-b9bd-013a-0b2b-6a3b9ae30f26,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/1376d960-b9bd-013a-0b2b-6a3b9ae30f26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tree Surveying Form - 树木测量表 (17).csv,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-05-19 12:17:37 -04:00,2022-05-19 16:19:00 +00:00,70618717,65D62F38-DB36-474E-BDFF-3DDD8D5FC928,14035092,2022-05-19 12:14:23,"lat=29.719097, long=-82.413289, alt=55.108161, hAccuracy=8.239556, vAccuracy=14.189908, timestamp=2022-05-19T16:14:23Z",,2 - Slightly unhealthy - 轻微不健康,,,,"Leaves - 树叶,Other - 其他",,,,,,,Wilting - 枯萎,,,,,,Some white spots on branches and leaves,http://app.devicemagic.com/organizations/261690/stored_files/v2/65b8eb80-b9bd-013a-252f-265e51d1f299,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/6742c5f0-b9bd-013a-252f-265e51d1f299,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/68e974e0-b9bd-013a-252f-265e51d1f299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
